movie_id,title,release_year,budget,revenue,vote_average,collection_id
1406957,Koko's Quest,1927,0,0,0.0,
1406955,Koko the Kavalier,1927,0,0,0.0,
1406459,That Little Big Fellow,1927,0,0,0.0,
1406451,Oh I Wish I Was in Michigan,1927,0,0,0.0,
1406449,The Rocky Road to Dublin,1927,0,0,0.0,
1406443,Trail of the Lonesome Pine,1927,0,0,0.0,
1406436,Tumbledown Shack in Athlone,1927,0,0,0.0,
42538,Sadie Thompson,1928,1000000,7000000,6.8,
207143,The Singing Fool,1928,388000,5916000,5.0,
104430,Noah's Ark,1928,1005000,2305000,6.1,
148112,The Terror,1928,163000,1464000,6.0,
464219,On Trial,1928,130000,1454000,6.0,
173689,Lights of New York,1928,75000,1200000,5.4,
42614,Our Dancing Daughters,1928,178000,1099000,6.4,981517.0
206581,The Divine Woman,1928,266817,931000,6.9,
27506,West of Zanzibar,1928,259000,921000,6.988,
142159,Across to Singapore,1928,290000,596000,6.8,
108923,The Mysterious Lady,1928,337000,551000,7.4,
115893,"The Life and Death of 9413, a Hollywood Extra",1928,0,97,6.4,
1422431,Compassion,1928,0,0,0.0,
1418748,Lingerie,1928,0,0,0.0,
1418744,Hollywood Models,1928,0,0,0.0,
1418742,Jazz Babies,1928,0,0,0.0,
1416115,Someone to Love,1928,0,0,0.0,
1413400,Galloping Ghosts,1928,0,0,0.0,
1410373,Ko-Ko Cleans Up,1928,0,0,0.0,
1410371,Ko-Ko Goes Over,1928,0,0,0.0,
1410314,Ko-Ko Heaves-Ho,1928,0,0,0.0,
1410308,Ko-Ko in the Rough,1928,0,0,0.0,
1410306,Ko-Ko on the Track,1928,0,0,0.0,
1410304,Ko-Ko's Act,1928,0,0,0.0,
1410300,Ko-Ko's Bawth,1928,0,0,0.0,
65203,The Broadway Melody,1929,379000,4358000,5.2,1037405.0
44670,Gold Diggers of Broadway,1929,532000,3967000,7.0,
79761,The Iron Mask,1929,0,3270000,6.7,707853.0
262260,The Desert Song,1929,354000,3022000,4.5,
53528,Welcome Danger,1929,979828,3000000,5.1,
53760,Rio Rita,1929,678000,2400000,8.5,
198930,Say It with Songs,1929,470000,2266000,5.3,
1153281,The Phantom of the Opera,1929,0,2000000,10.0,
20625,The Cocoanuts,1929,500000,1800000,6.4,
109891,Our Modern Maidens,1929,283000,857000,5.9,981517.0
1421100,The Cross Country Run,1929,0,0,0.0,
1419126,Torrid Toreadors,1929,0,0,0.0,
1419121,Golf Socks,1929,0,0,0.0,
1419119,Petting Larceny,1929,0,0,0.0,
1418590,Hat Aches,1929,0,0,0.0,
1418571,A Fur Peace,1929,0,0,0.0,
1418567,Auto Suggestion,1929,0,0,0.0,
1415151,"Coruña, anos 20",1929,0,0,0.0,
